arm,scenario,seed,source,n_events,nis_per_dof_mean,coverage_95,upper_exceed,applied_r_scale_mean
A_baseline_default,dvl_dropout_10,0,depth,695,5.6310,0.6532,0.3194,1.4212
A_baseline_default,dvl_dropout_10,0,dvl_world,694,0.1083,0.5130,0.0000,1.4226
A_baseline_default,dvl_dropout_10,1,depth,698,7.5493,0.5516,0.4226,1.6425
A_baseline_default,dvl_dropout_10,1,dvl_world,698,0.1075,0.5516,0.0000,1.6607
A_baseline_default,dvl_dropout_10,2,depth,685,9.0291,0.4540,0.5314,1.8972
A_baseline_default,dvl_dropout_10,2,dvl_world,684,0.0850,0.3582,0.0000,1.9347
A_baseline_default,dvl_dropout_30,0,depth,715,7.5718,0.5510,0.4238,1.7231
A_baseline_default,dvl_dropout_30,0,dvl_world,715,0.1114,0.5608,0.0000,1.7388
A_baseline_default,dvl_dropout_30,1,depth,776,6.6216,0.5863,0.3905,1.6804
A_baseline_default,dvl_dropout_30,1,dvl_world,774,0.1192,0.5581,0.0000,1.6990
A_baseline_default,dvl_dropout_30,2,depth,781,6.3898,0.5992,0.3764,1.6441
A_baseline_default,dvl_dropout_30,2,dvl_world,780,0.1206,0.5551,0.0000,1.6594
A_baseline_default,dvl_dropout_60,0,depth,818,8.4787,0.4719,0.5061,1.9521
A_baseline_default,dvl_dropout_60,0,dvl_world,817,0.1313,0.5998,0.0000,1.9711
A_baseline_default,dvl_dropout_60,1,depth,679,8.0966,0.5243,0.4566,1.7617
A_baseline_default,dvl_dropout_60,1,dvl_world,679,0.1103,0.5184,0.0000,1.7703
A_baseline_default,dvl_dropout_60,2,depth,762,7.7989,0.5144,0.4593,1.8305
A_baseline_default,dvl_dropout_60,2,dvl_world,761,0.1253,0.5808,0.0000,1.8482
A_baseline_default,dvl_dropout_90,0,depth,647,5.3106,0.6832,0.2875,1.1163
A_baseline_default,dvl_dropout_90,0,dvl_world,646,0.0993,0.5263,0.0000,1.1230
A_baseline_default,dvl_dropout_90,1,depth,754,8.2609,0.5133,0.4615,1.8251
A_baseline_default,dvl_dropout_90,1,dvl_world,754,0.1230,0.5981,0.0000,1.8383
A_baseline_default,dvl_dropout_90,2,depth,686,7.1088,0.5802,0.3936,1.6297
A_baseline_default,dvl_dropout_90,2,dvl_world,686,0.1080,0.5539,0.0000,1.6437
A_baseline_default,mag_distortion_light,0,depth,681,6.4926,0.5918,0.3833,1.5879
A_baseline_default,mag_distortion_light,0,dvl_world,680,0.1012,0.4897,0.0000,1.5835
A_baseline_default,mag_distortion_light,1,depth,697,5.7424,0.6399,0.3329,1.4685
A_baseline_default,mag_distortion_light,1,dvl_world,697,0.1058,0.5136,0.0000,1.4806
A_baseline_default,mag_distortion_light,2,depth,693,5.9949,0.6277,0.3463,1.5123
A_baseline_default,mag_distortion_light,2,dvl_world,692,0.1054,0.5289,0.0000,1.5250
A_baseline_default,mag_distortion_heavy,0,depth,877,8.2446,0.5120,0.4675,1.7696
A_baseline_default,mag_distortion_heavy,0,dvl_world,877,0.1411,0.6385,0.0000,1.7847
A_baseline_default,mag_distortion_heavy,1,depth,768,6.7263,0.5846,0.3906,1.5919
A_baseline_default,mag_distortion_heavy,1,dvl_world,767,0.1153,0.5593,0.0000,1.5940
A_baseline_default,mag_distortion_heavy,2,depth,877,8.9786,0.4470,0.5325,2.0308
A_baseline_default,mag_distortion_heavy,2,dvl_world,875,0.1559,0.6377,0.0000,2.0505
A_baseline_default,sonar_clutter,0,depth,697,6.4032,0.5983,0.3745,1.5178
A_baseline_default,sonar_clutter,0,dvl_world,696,0.1075,0.5460,0.0000,1.5291
A_baseline_default,sonar_clutter,1,depth,709,5.4962,0.6530,0.3202,1.4171
A_baseline_default,sonar_clutter,1,dvl_world,708,0.1252,0.6638,0.0000,1.4127
A_baseline_default,sonar_clutter,2,depth,675,8.8994,0.4548,0.5304,1.9919
A_baseline_default,sonar_clutter,2,dvl_world,674,0.0782,0.3398,0.0000,2.0065
A_baseline_default,combined_stress,0,depth,714,5.3953,0.6597,0.3151,1.4157
A_baseline_default,combined_stress,0,dvl_world,713,0.1111,0.4797,0.0000,1.4281
A_baseline_default,combined_stress,1,depth,879,7.6374,0.5392,0.4403,1.8337
A_baseline_default,combined_stress,1,dvl_world,879,0.1886,0.7497,0.0000,1.8509
A_baseline_default,combined_stress,2,depth,667,8.1149,0.5277,0.4558,1.7892
A_baseline_default,combined_stress,2,dvl_world,667,0.1284,0.5187,0.0000,1.7856
B_per_source_gating,dvl_dropout_10,0,depth,695,4.9323,0.6532,0.3194,2.5384
B_per_source_gating,dvl_dropout_10,0,dvl_world,694,0.0699,0.2939,0.0000,1.0000
B_per_source_gating,dvl_dropout_10,1,depth,698,7.8298,0.5673,0.4069,2.9287
B_per_source_gating,dvl_dropout_10,1,dvl_world,698,0.0534,0.2507,0.0000,1.0000
B_per_source_gating,dvl_dropout_10,2,depth,685,11.1057,0.4657,0.5197,3.3945
B_per_source_gating,dvl_dropout_10,2,dvl_world,684,0.0110,0.0015,0.0000,1.0000
B_per_source_gating,dvl_dropout_30,0,depth,715,8.4170,0.5580,0.4168,2.9785
B_per_source_gating,dvl_dropout_30,0,dvl_world,715,0.0528,0.2420,0.0000,1.0000
B_per_source_gating,dvl_dropout_30,1,depth,776,7.4976,0.5876,0.3892,2.8162
B_per_source_gating,dvl_dropout_30,1,dvl_world,774,0.0621,0.2636,0.0000,1.0000
B_per_source_gating,dvl_dropout_30,2,depth,781,7.0153,0.6018,0.3739,2.7466
B_per_source_gating,dvl_dropout_30,2,dvl_world,780,0.0654,0.2692,0.0000,1.0000
B_per_source_gating,dvl_dropout_60,0,depth,818,11.6498,0.4804,0.4976,3.2606
B_per_source_gating,dvl_dropout_60,0,dvl_world,817,0.0445,0.1787,0.0000,1.0000
B_per_source_gating,dvl_dropout_60,1,depth,679,8.9841,0.5376,0.4433,3.0964
B_per_source_gating,dvl_dropout_60,1,dvl_world,679,0.0344,0.1649,0.0000,1.0000
B_per_source_gating,dvl_dropout_60,2,depth,762,9.5217,0.5210,0.4528,3.1046
B_per_source_gating,dvl_dropout_60,2,dvl_world,761,0.0484,0.2181,0.0000,1.0000
B_per_source_gating,dvl_dropout_90,0,depth,647,3.6319,0.6940,0.2767,2.3663
B_per_source_gating,dvl_dropout_90,0,dvl_world,646,0.0751,0.3204,0.0000,1.0000
B_per_source_gating,dvl_dropout_90,1,depth,754,9.8284,0.5172,0.4576,3.1086
B_per_source_gating,dvl_dropout_90,1,dvl_world,754,0.0515,0.2347,0.0000,1.0000
B_per_source_gating,dvl_dropout_90,2,depth,686,7.2168,0.5816,0.3921,2.8655
B_per_source_gating,dvl_dropout_90,2,dvl_world,686,0.0555,0.2682,0.0000,1.0000
B_per_source_gating,mag_distortion_light,0,depth,681,6.3583,0.5962,0.3789,2.8099
B_per_source_gating,mag_distortion_light,0,dvl_world,680,0.0504,0.2118,0.0000,1.0000
B_per_source_gating,mag_distortion_light,1,depth,697,5.2091,0.6413,0.3314,2.5921
B_per_source_gating,mag_distortion_light,1,dvl_world,697,0.0693,0.2855,0.0000,1.0000
B_per_source_gating,mag_distortion_light,2,depth,693,5.6428,0.6263,0.3478,2.6782
B_per_source_gating,mag_distortion_light,2,dvl_world,692,0.0653,0.2832,0.0000,1.0000
B_per_source_gating,mag_distortion_heavy,0,depth,877,10.7118,0.5222,0.4572,3.0380
B_per_source_gating,mag_distortion_heavy,0,dvl_world,877,0.0597,0.2372,0.0000,1.0000
B_per_source_gating,mag_distortion_heavy,1,depth,768,7.0827,0.5951,0.3802,2.7653
B_per_source_gating,mag_distortion_heavy,1,dvl_world,767,0.0642,0.2660,0.0000,1.0000
B_per_source_gating,mag_distortion_heavy,2,depth,877,13.1240,0.4538,0.5257,3.3632
B_per_source_gating,mag_distortion_heavy,2,dvl_world,875,0.0462,0.1886,0.0000,1.0000
B_per_source_gating,sonar_clutter,0,depth,697,6.0771,0.6069,0.3659,2.7735
B_per_source_gating,sonar_clutter,0,dvl_world,696,0.0624,0.2557,0.0000,1.0000
B_per_source_gating,sonar_clutter,1,depth,709,4.9168,0.6573,0.3159,2.5156
B_per_source_gating,sonar_clutter,1,dvl_world,708,0.0765,0.3305,0.0000,1.0000
B_per_source_gating,sonar_clutter,2,depth,675,11.0476,0.4637,0.5215,3.4065
B_per_source_gating,sonar_clutter,2,dvl_world,674,0.0102,0.0015,0.0000,1.0000
B_per_source_gating,combined_stress,0,depth,714,4.7772,0.6625,0.3123,2.4900
B_per_source_gating,combined_stress,0,dvl_world,713,0.0715,0.2791,0.0000,1.0000
B_per_source_gating,combined_stress,1,depth,879,10.2422,0.5347,0.4448,2.9806
B_per_source_gating,combined_stress,1,dvl_world,879,0.0709,0.3174,0.0000,1.0000
B_per_source_gating,combined_stress,2,depth,667,9.0581,0.5352,0.4483,3.1108
B_per_source_gating,combined_stress,2,dvl_world,667,0.0314,0.1469,0.0000,1.0000
C_per_source_tuned,dvl_dropout_10,0,depth,695,1.6963,0.8259,0.1108,2.2920
C_per_source_tuned,dvl_dropout_10,0,dvl_world,694,0.0686,0.2983,0.0000,1.0000
C_per_source_tuned,dvl_dropout_10,1,depth,698,3.1495,0.7564,0.2006,2.6478
C_per_source_tuned,dvl_dropout_10,1,dvl_world,698,0.0499,0.2507,0.0000,1.0000
C_per_source_tuned,dvl_dropout_10,2,depth,685,4.4858,0.6540,0.3109,3.1005
C_per_source_tuned,dvl_dropout_10,2,dvl_world,684,0.0107,0.0015,0.0000,1.0000
C_per_source_tuned,dvl_dropout_30,0,depth,715,3.4448,0.7399,0.2168,2.6969
C_per_source_tuned,dvl_dropout_30,0,dvl_world,715,0.0487,0.2420,0.0000,1.0000
C_per_source_tuned,dvl_dropout_30,1,depth,776,2.8816,0.7423,0.2036,2.5809
C_per_source_tuned,dvl_dropout_30,1,dvl_world,774,0.0601,0.2674,0.0000,1.0000
C_per_source_tuned,dvl_dropout_30,2,depth,781,2.6569,0.7542,0.1895,2.5200
C_per_source_tuned,dvl_dropout_30,2,dvl_world,780,0.0637,0.2744,0.0000,1.0000
C_per_source_tuned,dvl_dropout_60,0,depth,818,5.1014,0.6308,0.3227,3.0192
C_per_source_tuned,dvl_dropout_60,0,dvl_world,817,0.0373,0.1738,0.0000,1.0000
C_per_source_tuned,dvl_dropout_60,1,depth,679,3.6451,0.7290,0.2327,2.7987
C_per_source_tuned,dvl_dropout_60,1,dvl_world,679,0.0285,0.1576,0.0000,1.0000
C_per_source_tuned,dvl_dropout_60,2,depth,762,3.8819,0.6811,0.2664,2.8433
C_per_source_tuned,dvl_dropout_60,2,dvl_world,761,0.0433,0.2129,0.0000,1.0000
C_per_source_tuned,dvl_dropout_90,0,depth,647,1.1857,0.8825,0.0495,2.1088
C_per_source_tuned,dvl_dropout_90,0,dvl_world,646,0.0754,0.3282,0.0000,1.0000
C_per_source_tuned,dvl_dropout_90,1,depth,754,4.1582,0.6923,0.2666,2.8458
C_per_source_tuned,dvl_dropout_90,1,dvl_world,754,0.0466,0.2334,0.0000,1.0000
C_per_source_tuned,dvl_dropout_90,2,depth,686,2.8916,0.7726,0.1822,2.5876
C_per_source_tuned,dvl_dropout_90,2,dvl_world,686,0.0524,0.2682,0.0000,1.0000
C_per_source_tuned,mag_distortion_light,0,depth,681,2.2869,0.7827,0.1674,2.5365
C_per_source_tuned,mag_distortion_light,0,dvl_world,680,0.0458,0.2103,0.0000,1.0000
C_per_source_tuned,mag_distortion_light,1,depth,697,1.8078,0.8164,0.1220,2.3393
C_per_source_tuned,mag_distortion_light,1,dvl_world,697,0.0677,0.2970,0.0000,1.0000
C_per_source_tuned,mag_distortion_light,2,depth,693,1.9898,0.7994,0.1385,2.4092
C_per_source_tuned,mag_distortion_light,2,dvl_world,692,0.0634,0.2861,0.0000,1.0000
C_per_source_tuned,mag_distortion_heavy,0,depth,877,4.8159,0.6727,0.2919,2.8403
C_per_source_tuned,mag_distortion_heavy,0,dvl_world,877,0.0541,0.2349,0.0000,1.0000
C_per_source_tuned,mag_distortion_heavy,1,depth,768,2.6853,0.7500,0.1914,2.5377
C_per_source_tuned,mag_distortion_heavy,1,dvl_world,767,0.0625,0.2790,0.0000,1.0000
C_per_source_tuned,mag_distortion_heavy,2,depth,877,6.1395,0.5884,0.3637,3.1315
C_per_source_tuned,mag_distortion_heavy,2,dvl_world,875,0.0398,0.1909,0.0000,1.0000
C_per_source_tuned,sonar_clutter,0,depth,697,2.2164,0.7805,0.1564,2.4916
C_per_source_tuned,sonar_clutter,0,dvl_world,696,0.0590,0.2701,0.0000,1.0000
C_per_source_tuned,sonar_clutter,1,depth,709,1.7078,0.8293,0.1114,2.2801
C_per_source_tuned,sonar_clutter,1,dvl_world,708,0.0669,0.2952,0.0000,1.0000
C_per_source_tuned,sonar_clutter,2,depth,675,4.4093,0.6533,0.3096,3.1040
C_per_source_tuned,sonar_clutter,2,dvl_world,674,0.0102,0.0015,0.0000,1.0000
C_per_source_tuned,combined_stress,0,depth,714,1.5792,0.8305,0.1092,2.2327
C_per_source_tuned,combined_stress,0,dvl_world,713,0.0656,0.1669,0.0000,1.0000
C_per_source_tuned,combined_stress,1,depth,879,4.5844,0.6860,0.2799,2.7906
C_per_source_tuned,combined_stress,1,dvl_world,879,0.0536,0.2400,0.0000,1.0000
C_per_source_tuned,combined_stress,2,depth,667,3.6537,0.7271,0.2354,2.8147
C_per_source_tuned,combined_stress,2,dvl_world,667,0.0252,0.1244,0.0000,1.0000
