scenario,arm,arm_label,seed,status,rmse_xy_m,rmse_z_m,rmse_3d_m,depth_equiv_error_m,depth_equiv_bias_m,current_speed_mps,target_loss_ratio,reacquire_success_ratio,mag_nis_mean,mag_nis_p95,mag_updates,sonar_input
baseline,1_imu_dvl,IMU+DVL,0,ok,37.2577,0.0189077,37.2577,nan,nan,0,1,0,nan,nan,0,disabled
baseline,1_imu_dvl,IMU+DVL,1,ok,10.2984,0.00797624,10.2984,nan,nan,0,1,0,nan,nan,0,disabled
baseline,1_imu_dvl,IMU+DVL,2,ok,29.6745,0.0113473,29.6745,nan,nan,0,1,0,nan,nan,0,disabled
baseline,2_imu_dvl_mag,+磁,0,ok,12.8151,0.009692,12.8151,0.104606,-0.00459024,0,0,nan,0.266777,0.951968,240,disabled
baseline,2_imu_dvl_mag,+磁,1,ok,11.6642,0.00981032,11.6642,0.104047,-0.0121656,0,0,nan,0.263585,1.04855,240,disabled
baseline,2_imu_dvl_mag,+磁,2,ok,27.0634,0.0125968,27.0634,0.0999473,0.00271231,0,0,nan,0.247732,1.02635,240,disabled
baseline,3_imu_dvl_sonar,+声呐,0,ok,37.2577,0.0189077,37.2577,nan,nan,0,0,nan,nan,nan,0,confidence_only
baseline,3_imu_dvl_sonar,+声呐,1,ok,10.2984,0.00797624,10.2984,nan,nan,0,0,nan,nan,nan,0,confidence_only
baseline,3_imu_dvl_sonar,+声呐,2,ok,29.6745,0.0113473,29.6745,nan,nan,0,0,nan,nan,nan,0,confidence_only
baseline,4_imu_dvl_mag_sonar,+磁+声呐,0,ok,13.0047,0.00868859,13.0047,0.104606,-0.00459024,0,0,nan,0.217856,0.806385,240,confidence_only
baseline,4_imu_dvl_mag_sonar,+磁+声呐,1,ok,12.7817,0.009487,12.7817,0.104047,-0.0121656,0,0,nan,0.214781,0.86154,240,confidence_only
baseline,4_imu_dvl_mag_sonar,+磁+声呐,2,ok,28.6996,0.0118367,28.6996,0.0999473,0.00271231,0,0,nan,0.200874,0.826103,240,confidence_only
baseline,5_fusion_fixed_r,声磁融合(固定R),0,ok,13.0047,0.00868859,13.0047,0.104606,-0.00459024,0,0,nan,0.217856,0.806385,240,confidence_only
baseline,5_fusion_fixed_r,声磁融合(固定R),1,ok,12.7817,0.009487,12.7817,0.104047,-0.0121656,0,0,nan,0.214781,0.86154,240,confidence_only
baseline,5_fusion_fixed_r,声磁融合(固定R),2,ok,28.6996,0.0118367,28.6996,0.0999473,0.00271231,0,0,nan,0.200874,0.826103,240,confidence_only
baseline,6_fusion_adaptive_r,声磁融合(自适应R),0,ok,13.0047,0.00868859,13.0047,0.104606,-0.00459024,0,0,nan,0.217856,0.806385,240,confidence_only
baseline,6_fusion_adaptive_r,声磁融合(自适应R),1,ok,12.7817,0.009487,12.7817,0.104047,-0.0121656,0,0,nan,0.214781,0.86154,240,confidence_only
baseline,6_fusion_adaptive_r,声磁融合(自适应R),2,ok,28.6996,0.0118367,28.6996,0.0999473,0.00271231,0,0,nan,0.200874,0.826103,240,confidence_only
sonar_occlusion,1_imu_dvl,IMU+DVL,0,ok,20.6079,0.0145714,20.6079,nan,nan,0,1,0,nan,nan,0,disabled
sonar_occlusion,1_imu_dvl,IMU+DVL,1,ok,2.11622,0.013855,2.11626,nan,nan,0,1,0,nan,nan,0,disabled
sonar_occlusion,1_imu_dvl,IMU+DVL,2,ok,23.5663,0.0130352,23.5663,nan,nan,0,1,0,nan,nan,0,disabled
