scenario,arm,arm_label,current_speed_mps,run_count,rmse_xy_m_mean,rmse_xy_m_std,rmse_z_m_mean,rmse_z_m_std,rmse_3d_m_mean,rmse_3d_m_std,depth_equiv_error_m_mean,depth_equiv_error_m_std,depth_equiv_bias_m_mean,depth_equiv_bias_m_std,target_loss_ratio_mean,target_loss_ratio_std,reacquire_success_ratio_mean,reacquire_success_ratio_std,mag_nis_mean_mean,mag_nis_mean_std,mag_nis_p95_mean,mag_nis_p95_std
baseline,1_imu_dvl,IMU+DVL,0,3,25.7435,11.3516,0.0127438,0.00457068,25.7435,11.3516,nan,0,nan,0,1,0,0,0,nan,0,nan,0
baseline,2_imu_dvl_mag,+磁,0,3,17.1809,7.00376,0.0106997,0.0013423,17.1809,7.00376,0.102867,0.00207687,-0.00468118,0.00607423,0,0,nan,0,0.259365,0.00832834,1.00895,0.0413031
baseline,3_imu_dvl_sonar,+声呐,0,3,25.7435,11.3516,0.0127438,0.00457068,25.7435,11.3516,nan,0,nan,0,0,0,nan,0,nan,0,nan,0
baseline,4_imu_dvl_mag_sonar,+磁+声呐,0,3,18.162,7.45178,0.0100041,0.00133623,18.162,7.45178,0.102867,0.00207687,-0.00468118,0.00607423,0,0,nan,0,0.21117,0.00738826,0.831343,0.0228196
baseline,5_fusion_fixed_r,声磁融合(固定R),0,3,18.162,7.45178,0.0100041,0.00133623,18.162,7.45178,0.102867,0.00207687,-0.00468118,0.00607423,0,0,nan,0,0.21117,0.00738826,0.831343,0.0228196
baseline,6_fusion_adaptive_r,声磁融合(自适应R),0,3,18.162,7.45178,0.0100041,0.00133623,18.162,7.45178,0.102867,0.00207687,-0.00468118,0.00607423,0,0,nan,0,0.21117,0.00738826,0.831343,0.0228196
combined,1_imu_dvl,IMU+DVL,0,3,10.2171,11.9077,0.0109165,0.00116405,10.2171,11.9076,nan,0,nan,0,1,0,0,0,nan,0,nan,0
combined,2_imu_dvl_mag,+磁,0,3,22.0485,10.7495,0.0284809,0.00235279,22.0486,10.7495,0.416661,0.0267982,-0.0146525,0.00600176,0,0,nan,0,4.21966,0.525603,16.7872,2.02682
combined,3_imu_dvl_sonar,+声呐,0,3,10.2171,11.9077,0.0109165,0.00116405,10.2171,11.9076,nan,0,nan,0,0.167083,0,1,0,nan,0,nan,0
combined,4_imu_dvl_mag_sonar,+磁+声呐,0,3,29.0306,4.32551,0.0230361,0.00105907,29.0306,4.32551,0.416661,0.0267982,-0.0146525,0.00600176,0,0,nan,0,2.70805,0.394212,11.8895,1.03599
combined,5_fusion_fixed_r,声磁融合(固定R),0,3,29.0306,4.32551,0.0230361,0.00105907,29.0306,4.32551,0.416661,0.0267982,-0.0146525,0.00600176,0,0,nan,0,2.70805,0.394212,11.8895,1.03599
combined,6_fusion_adaptive_r,声磁融合(自适应R),0,3,27.7795,5.83857,0.0206146,0.000981527,27.7795,5.83856,0.416661,0.0267982,-0.0146525,0.00600176,0,0,nan,0,1.66148,0.200977,8.3344,0.822951
current,1_imu_dvl,IMU+DVL,0.3,3,22.3226,4.2416,0.0101091,0.00141795,22.3226,4.2416,nan,0,nan,0,1,0,0,0,nan,0,nan,0
current,2_imu_dvl_mag,+磁,0.3,3,21.7232,6.07127,0.0324639,0.00194798,21.7232,6.07126,0.269403,0.00727572,0.225109,0.00565147,0,0,nan,0,1.50597,0.0672546,4.53956,0.231579
current,3_imu_dvl_sonar,+声呐,0.3,3,22.3226,4.2416,0.0101091,0.00141795,22.3226,4.2416,nan,0,nan,0,0,0,nan,0,nan,0,nan,0
current,4_imu_dvl_mag_sonar,+磁+声呐,0.3,3,21.6499,5.42764,0.0277686,0.00190541,21.6499,5.42764,0.269403,0.00727572,0.225109,0.00565147,0,0,nan,0,1.25999,0.0555174,3.78645,0.17573
current,5_fusion_fixed_r,声磁融合(固定R),0.3,3,21.6499,5.42764,0.0277686,0.00190541,21.6499,5.42764,0.269403,0.00727572,0.225109,0.00565147,0,0,nan,0,1.25999,0.0555174,3.78645,0.17573
current,6_fusion_adaptive_r,声磁融合(自适应R),0.3,3,21.8207,5.4706,0.0240288,0.000766915,21.8207,5.47059,0.269403,0.00727572,0.225109,0.00565147,0,0,nan,0,0.998785,0.0455778,2.89219,0.137776
em_noise,1_imu_dvl,IMU+DVL,0,3,21.6047,8.89808,0.00972146,0.000909736,21.6047,8.89807,nan,0,nan,0,1,0,0,0,nan,0,nan,0
em_noise,2_imu_dvl_mag,+磁,0,3,24.5732,7.90092,0.0412238,0.00294211,24.5732,7.9009,0.613254,0.0232961,-0.0340965,0.0527894,0,0,nan,0,9.12046,0.682903,34.7554,3.00338
