scenario,seed,engine,rmse_xy,rmse_z,rmse_3d,cep50
dvl_dropout_10,0,raw_dr,3.5380,0.0230,3.5380,3.5300
dvl_dropout_10,0,std_ekf,3.5360,0.0950,3.5380,3.5260
dvl_dropout_10,0,es_ekf,3.5390,0.1740,3.5430,3.5280
dvl_dropout_10,1,raw_dr,4.0340,0.0260,4.0340,4.0450
dvl_dropout_10,1,std_ekf,4.0310,0.1140,4.0320,4.0410
dvl_dropout_10,1,es_ekf,4.0100,0.2130,4.0160,4.0220
dvl_dropout_10,2,raw_dr,1.3690,0.0250,1.3700,1.3530
dvl_dropout_10,2,std_ekf,1.3840,0.1190,1.3890,1.3670
dvl_dropout_10,2,es_ekf,1.3680,0.2220,1.3860,1.3510
dvl_dropout_30,0,raw_dr,3.5510,0.0260,3.5510,3.5430
dvl_dropout_30,0,std_ekf,3.5490,0.1140,3.5510,3.5390
dvl_dropout_30,0,es_ekf,3.5280,0.2130,3.5350,3.5190
dvl_dropout_30,1,raw_dr,3.2680,0.0240,3.2680,3.2590
dvl_dropout_30,1,std_ekf,3.2880,0.1080,3.2900,3.2770
dvl_dropout_30,1,es_ekf,3.2920,0.2000,3.2980,3.2810
dvl_dropout_30,2,raw_dr,3.3010,0.0240,3.3010,3.3000
dvl_dropout_30,2,std_ekf,3.2980,0.1050,3.3000,3.2950
dvl_dropout_30,2,es_ekf,3.3000,0.1940,3.3060,3.2980
dvl_dropout_60,0,raw_dr,3.0790,0.0260,3.0790,3.0740
dvl_dropout_60,0,std_ekf,3.0970,0.1250,3.1000,3.0910
dvl_dropout_60,0,es_ekf,3.0790,0.2310,3.0870,3.0730
dvl_dropout_60,1,raw_dr,2.3880,0.0250,2.3880,2.3950
dvl_dropout_60,1,std_ekf,2.3850,0.1120,2.3870,2.3910
dvl_dropout_60,1,es_ekf,2.3670,0.2100,2.3760,2.3730
dvl_dropout_60,2,raw_dr,3.2130,0.0250,3.2130,3.2120
dvl_dropout_60,2,std_ekf,3.2120,0.1190,3.2150,3.2090
dvl_dropout_60,2,es_ekf,3.2140,0.2200,3.2220,3.2120
dvl_dropout_90,0,raw_dr,3.5230,0.0240,3.5230,3.5220
dvl_dropout_90,0,std_ekf,3.5430,0.0840,3.5440,3.5400
dvl_dropout_90,0,es_ekf,3.5230,0.1490,3.5260,3.5200
dvl_dropout_90,1,raw_dr,3.8100,0.0250,3.8100,3.8040
dvl_dropout_90,1,std_ekf,3.8070,0.1220,3.8090,3.8000
dvl_dropout_90,1,es_ekf,3.7860,0.2290,3.7930,3.7800
dvl_dropout_90,2,raw_dr,3.3590,0.0250,3.3590,3.3600
dvl_dropout_90,2,std_ekf,3.3560,0.1080,3.3580,3.3550
dvl_dropout_90,2,es_ekf,3.3360,0.2000,3.3420,3.3360
mag_distortion_light,0,raw_dr,2.3650,0.0240,2.3650,2.3620
mag_distortion_light,0,std_ekf,2.3620,0.1010,2.3640,2.3580
mag_distortion_light,0,es_ekf,2.3640,0.1880,2.3720,2.3610
mag_distortion_light,1,raw_dr,2.9700,0.0230,2.9700,2.9590
mag_distortion_light,1,std_ekf,2.9700,0.0950,2.9710,2.9570
mag_distortion_light,1,es_ekf,2.9490,0.1730,2.9540,2.9370
mag_distortion_light,2,raw_dr,2.9610,0.0230,2.9610,2.9520
mag_distortion_light,2,std_ekf,2.9810,0.0980,2.9820,2.9700
mag_distortion_light,2,es_ekf,2.9610,0.1810,2.9660,2.9500
mag_distortion_heavy,0,raw_dr,3.5570,0.0250,3.5570,3.5550
mag_distortion_heavy,0,std_ekf,3.5540,0.1190,3.5560,3.5500
mag_distortion_heavy,0,es_ekf,3.5340,0.2230,3.5410,3.5300
mag_distortion_heavy,1,raw_dr,3.3670,0.0240,3.3670,3.3560
mag_distortion_heavy,1,std_ekf,3.3650,0.1060,3.3670,3.3510
mag_distortion_heavy,1,es_ekf,3.3670,0.1990,3.3730,3.3530
mag_distortion_heavy,2,raw_dr,3.3260,0.0260,3.3260,3.3150
mag_distortion_heavy,2,std_ekf,3.3450,0.1310,3.3480,3.3340
mag_distortion_heavy,2,es_ekf,3.3470,0.2410,3.3560,3.3380
sonar_clutter,0,raw_dr,3.3930,0.0240,3.3930,3.3750
sonar_clutter,0,std_ekf,3.4130,0.1030,3.4140,3.3940
sonar_clutter,0,es_ekf,3.3930,0.1890,3.3980,3.3740
sonar_clutter,1,raw_dr,4.2550,0.0230,4.2550,4.2430
sonar_clutter,1,std_ekf,4.2510,0.0980,4.2520,4.2390
sonar_clutter,1,es_ekf,4.2570,0.1780,4.2610,4.2440
sonar_clutter,2,raw_dr,2.1530,0.0250,2.1530,2.1580
sonar_clutter,2,std_ekf,2.1670,0.1230,2.1710,2.1720
sonar_clutter,2,es_ekf,2.1510,0.2340,2.1640,2.1560
combined_stress,0,raw_dr,3.4380,0.0240,3.4380,3.4230
combined_stress,0,std_ekf,3.3030,0.0970,3.3040,3.2890
combined_stress,0,es_ekf,3.3470,0.1780,3.3520,3.3280
combined_stress,1,raw_dr,4.3440,0.0260,4.3440,4.3360
combined_stress,1,std_ekf,4.3400,0.1200,4.3420,4.3310
combined_stress,1,es_ekf,4.3230,0.2230,4.3290,4.3150
combined_stress,2,raw_dr,2.1720,0.0250,2.1720,2.1650
combined_stress,2,std_ekf,2.1620,0.1120,2.1640,2.1540
combined_stress,2,es_ekf,2.1470,0.2100,2.1570,2.1400
