scenario,engine,n_seeds,xy_rmse_mean,xy_rmse_std,z_rmse_mean,z_rmse_std,rmse3d_mean,rmse3d_std
combined_stress,raw_dr,3,3.3180,1.0910,0.0250,0.0010,3.3180,1.0910
combined_stress,std_ekf,3,3.2683,1.0894,0.1097,0.0117,3.2700,1.0894
combined_stress,es_ekf,3,3.2723,1.0899,0.2037,0.0232,3.2793,1.0878
dvl_dropout_10,raw_dr,3,2.9803,1.4173,0.0247,0.0015,2.9807,1.4168
dvl_dropout_10,std_ekf,3,2.9837,1.4073,0.1093,0.0127,2.9863,1.4052
dvl_dropout_10,es_ekf,3,2.9723,1.4092,0.2030,0.0255,2.9817,1.4020
dvl_dropout_30,raw_dr,3,3.3733,0.1547,0.0247,0.0012,3.3733,0.1547
dvl_dropout_30,std_ekf,3,3.3783,0.1479,0.1090,0.0046,3.3803,0.1479
dvl_dropout_30,es_ekf,3,3.3733,0.1340,0.2023,0.0097,3.3797,0.1346
dvl_dropout_60,raw_dr,3,2.8933,0.4427,0.0253,0.0006,2.8933,0.4427
dvl_dropout_60,std_ekf,3,2.8980,0.4480,0.1187,0.0065,2.9007,0.4485
dvl_dropout_60,es_ekf,3,2.8867,0.4551,0.2203,0.0105,2.8950,0.4545
dvl_dropout_90,raw_dr,3,3.5640,0.2283,0.0247,0.0006,3.5640,0.2283
dvl_dropout_90,std_ekf,3,3.5687,0.2266,0.1047,0.0192,3.5703,0.2267
dvl_dropout_90,es_ekf,3,3.5483,0.2261,0.1927,0.0405,3.5537,0.2268
mag_distortion_heavy,raw_dr,3,3.4167,0.1232,0.0250,0.0010,3.4167,0.1232
mag_distortion_heavy,std_ekf,3,3.4213,0.1153,0.1187,0.0125,3.4237,0.1150
mag_distortion_heavy,es_ekf,3,3.4160,0.1027,0.2210,0.0211,3.4233,0.1023
mag_distortion_light,raw_dr,3,2.7653,0.3467,0.0233,0.0006,2.7653,0.3467
mag_distortion_light,std_ekf,3,2.7710,0.3542,0.0980,0.0030,2.7723,0.3537
mag_distortion_light,es_ekf,3,2.7580,0.3413,0.1807,0.0075,2.7640,0.3395
sonar_clutter,raw_dr,3,3.2670,1.0566,0.0240,0.0010,3.2670,1.0566
sonar_clutter,std_ekf,3,3.2770,1.0486,0.1080,0.0132,3.2790,1.0470
sonar_clutter,es_ekf,3,3.2670,1.0586,0.2003,0.0297,3.2743,1.0540
