mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
warm,0,84.1198,76.4937,Solve_Succeeded,wall_perf_counter
warm,1,91.8175,84.4803,Solve_Succeeded,wall_perf_counter
warm,2,73.4940,65.8320,Solve_Succeeded,wall_perf_counter
warm,3,52.0934,44.5724,Solve_Succeeded,wall_perf_counter
warm,4,58.1378,50.8439,Solve_Succeeded,wall_perf_counter
warm,5,53.5673,46.2347,Solve_Succeeded,wall_perf_counter
warm,6,58.3160,51.0929,Solve_Succeeded,wall_perf_counter
warm,7,71.5645,64.3616,Solve_Succeeded,wall_perf_counter
warm,8,133.0440,125.6973,Solve_Succeeded,wall_perf_counter
warm,9,88.1717,80.9605,Solve_Succeeded,wall_perf_counter
warm,10,69.4151,62.2155,Solve_Succeeded,wall_perf_counter
warm,11,64.3445,56.8532,Solve_Succeeded,wall_perf_counter
warm,12,67.1890,59.5086,Solve_Succeeded,wall_perf_counter
warm,13,68.9384,61.6174,Solve_Succeeded,wall_perf_counter
warm,14,67.1589,59.8389,Solve_Succeeded,wall_perf_counter
warm,15,78.7882,71.5721,Solve_Succeeded,wall_perf_counter
warm,16,67.3209,59.9946,Solve_Succeeded,wall_perf_counter
warm,17,100.0985,92.3890,Solve_Succeeded,wall_perf_counter
warm,18,68.2264,60.8451,Solve_Succeeded,wall_perf_counter
warm,19,69.3647,62.0294,Solve_Succeeded,wall_perf_counter
warm,20,72.6761,65.4402,Solve_Succeeded,wall_perf_counter
warm,21,55.6007,48.3179,Solve_Succeeded,wall_perf_counter
warm,22,80.4411,73.2324,Solve_Succeeded,wall_perf_counter
warm,23,65.0525,57.8379,Solve_Succeeded,wall_perf_counter
warm,24,99.7146,92.3423,Solve_Succeeded,wall_perf_counter
warm,25,102.0319,94.4746,Solve_Succeeded,wall_perf_counter
warm,26,71.0686,63.3690,Solve_Succeeded,wall_perf_counter
warm,27,63.7434,56.0976,Solve_Succeeded,wall_perf_counter
warm,28,91.4112,83.5729,Solve_Succeeded,wall_perf_counter
warm,29,74.5892,67.3319,Solve_Succeeded,wall_perf_counter
warm,30,140.3250,132.4767,Solve_Succeeded,wall_perf_counter
warm,31,98.0856,90.6874,Solve_Succeeded,wall_perf_counter
warm,32,54.0902,46.7939,Solve_Succeeded,wall_perf_counter
warm,33,124.6231,117.3691,Solve_Succeeded,wall_perf_counter
warm,34,54.1045,46.6063,Solve_Succeeded,wall_perf_counter
warm,35,59.4265,52.1249,Solve_Succeeded,wall_perf_counter
warm,36,70.8184,63.3547,Solve_Succeeded,wall_perf_counter
warm,37,118.1964,110.3641,Solve_Succeeded,wall_perf_counter
warm,38,108.1086,100.8234,Solve_Succeeded,wall_perf_counter
warm,39,106.3196,98.9621,Solve_Succeeded,wall_perf_counter
warm,40,58.9133,51.6303,Solve_Succeeded,wall_perf_counter
warm,41,49.5630,42.1758,Solve_Succeeded,wall_perf_counter
warm,42,45.0771,37.7707,Solve_Succeeded,wall_perf_counter
warm,43,45.1236,37.8948,Solve_Succeeded,wall_perf_counter
warm,44,40.9933,33.6300,Solve_Succeeded,wall_perf_counter
warm,45,40.6033,33.3031,Solve_Succeeded,wall_perf_counter
warm,46,40.7126,33.3787,Solve_Succeeded,wall_perf_counter
warm,47,40.8739,33.7111,Solve_Succeeded,wall_perf_counter
warm,48,46.1648,39.0059,Solve_Succeeded,wall_perf_counter
warm,49,44.8097,37.5972,Solve_Succeeded,wall_perf_counter
