    PID COMMAND         %CPU %MEM     ELAPSED COMMAND
  17360 python3         56.0  0.2       00:01 python3 scripts/run_jetson_realtime.py --config config.yaml
   3284 code            53.0  2.0       28:22 /usr/share/code/code --type=zygote --no-zygote-sandbox
   3454 code            30.8  2.6       28:17 /usr/share/code/code --type=zygote
   2163 gnome-shell     26.0  3.0       28:44 /usr/bin/gnome-shell
   3318 code            11.8  2.5       28:22 /usr/share/code/code --type=zygote
   1581 Xorg             8.5  1.3       28:46 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   3249 code             5.1  1.2       28:23 /usr/share/code/code
   3380 code             4.0  2.8       28:20 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=zh-CN --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --js-flags=--nodecommit_pooled_pages --crashpad-handler-pid=3271 --enable-crash-reporter=c0979852-d46e-4e28-9fe0-e62029d59c03,no_channel --user-data-dir=/home/auv_dev/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,8022810612685921947,9017695881838665152,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588
    297 irq/198-gk20a_s  2.9  0.0       28:51 [irq/198-gk20a_s]
   3505 codex            2.9  0.7       28:16 /home/auv_dev/.vscode/extensions/openai.chatgpt-26.803.61601-linux-arm64/bin/linux-aarch64/codex -c features.code_mode_host=true app-server --analytics-default-enabled
