mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
cold,0,31.9368,24.9700,Solve_Succeeded,wall_perf_counter
cold,1,31.8623,24.8568,Solve_Succeeded,wall_perf_counter
cold,2,33.2792,26.2008,Solve_Succeeded,wall_perf_counter
cold,3,34.8054,27.1815,Solve_Succeeded,wall_perf_counter
cold,4,32.9581,25.7742,Solve_Succeeded,wall_perf_counter
cold,5,32.0749,25.1435,Solve_Succeeded,wall_perf_counter
cold,6,32.2496,25.0961,Solve_Succeeded,wall_perf_counter
cold,7,32.2394,25.1007,Solve_Succeeded,wall_perf_counter
cold,8,32.2807,25.0419,Solve_Succeeded,wall_perf_counter
cold,9,32.5785,25.4240,Solve_Succeeded,wall_perf_counter
cold,10,33.8007,26.3877,Solve_Succeeded,wall_perf_counter
cold,11,33.0385,25.8522,Solve_Succeeded,wall_perf_counter
cold,12,32.6412,25.4699,Solve_Succeeded,wall_perf_counter
cold,13,32.2936,25.1337,Solve_Succeeded,wall_perf_counter
cold,14,32.6810,25.3358,Solve_Succeeded,wall_perf_counter
cold,15,32.2993,25.0754,Solve_Succeeded,wall_perf_counter
cold,16,32.8784,25.6953,Solve_Succeeded,wall_perf_counter
cold,17,32.4291,25.2567,Solve_Succeeded,wall_perf_counter
cold,18,32.9095,25.8112,Solve_Succeeded,wall_perf_counter
cold,19,32.5024,25.4434,Solve_Succeeded,wall_perf_counter
cold,20,32.6041,25.5186,Solve_Succeeded,wall_perf_counter
cold,21,32.5705,25.3705,Solve_Succeeded,wall_perf_counter
cold,22,32.8093,25.6067,Solve_Succeeded,wall_perf_counter
cold,23,32.6935,25.6484,Solve_Succeeded,wall_perf_counter
cold,24,32.3559,25.4409,Solve_Succeeded,wall_perf_counter
cold,25,32.3512,25.3815,Solve_Succeeded,wall_perf_counter
cold,26,32.3154,25.4000,Solve_Succeeded,wall_perf_counter
cold,27,32.3983,25.4325,Solve_Succeeded,wall_perf_counter
cold,28,32.5451,25.6131,Solve_Succeeded,wall_perf_counter
cold,29,32.2075,25.2453,Solve_Succeeded,wall_perf_counter
