mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
warm,0,34.0223,26.8034,Solve_Succeeded,wall_perf_counter
warm,1,32.4657,25.2212,Solve_Succeeded,wall_perf_counter
warm,2,32.6754,25.2837,Solve_Succeeded,wall_perf_counter
warm,3,32.8858,25.5623,Solve_Succeeded,wall_perf_counter
warm,4,32.6550,25.3180,Solve_Succeeded,wall_perf_counter
warm,5,32.4365,25.1180,Solve_Succeeded,wall_perf_counter
warm,6,33.0429,25.5905,Solve_Succeeded,wall_perf_counter
warm,7,34.1755,26.7279,Solve_Succeeded,wall_perf_counter
warm,8,32.8839,25.4108,Solve_Succeeded,wall_perf_counter
warm,9,32.7947,25.3329,Solve_Succeeded,wall_perf_counter
warm,10,32.3433,25.1310,Solve_Succeeded,wall_perf_counter
warm,11,32.9249,25.4349,Solve_Succeeded,wall_perf_counter
warm,12,32.7637,25.2586,Solve_Succeeded,wall_perf_counter
warm,13,32.9087,25.4759,Solve_Succeeded,wall_perf_counter
warm,14,33.4658,25.9934,Solve_Succeeded,wall_perf_counter
warm,15,32.9697,25.7277,Solve_Succeeded,wall_perf_counter
warm,16,32.7266,25.2593,Solve_Succeeded,wall_perf_counter
warm,17,32.5199,25.0424,Solve_Succeeded,wall_perf_counter
warm,18,32.8327,25.3437,Solve_Succeeded,wall_perf_counter
warm,19,33.0903,25.5450,Solve_Succeeded,wall_perf_counter
warm,20,32.7008,25.2326,Solve_Succeeded,wall_perf_counter
warm,21,32.8429,25.4383,Solve_Succeeded,wall_perf_counter
warm,22,33.6011,26.3026,Solve_Succeeded,wall_perf_counter
warm,23,32.9760,25.4845,Solve_Succeeded,wall_perf_counter
warm,24,33.2163,25.7362,Solve_Succeeded,wall_perf_counter
warm,25,32.7999,25.4466,Solve_Succeeded,wall_perf_counter
warm,26,32.8459,25.3725,Solve_Succeeded,wall_perf_counter
warm,27,32.9187,25.5495,Solve_Succeeded,wall_perf_counter
warm,28,32.7389,25.4450,Solve_Succeeded,wall_perf_counter
warm,29,32.7283,25.4416,Solve_Succeeded,wall_perf_counter
warm,30,32.5436,25.4301,Solve_Succeeded,wall_perf_counter
warm,31,33.7003,26.0760,Solve_Succeeded,wall_perf_counter
warm,32,32.5807,25.3128,Solve_Succeeded,wall_perf_counter
warm,33,32.5076,25.2547,Solve_Succeeded,wall_perf_counter
warm,34,32.3990,25.1429,Solve_Succeeded,wall_perf_counter
warm,35,32.9652,25.6805,Solve_Succeeded,wall_perf_counter
warm,36,33.2463,25.8522,Solve_Succeeded,wall_perf_counter
warm,37,32.9310,25.6030,Solve_Succeeded,wall_perf_counter
warm,38,32.9064,25.6562,Solve_Succeeded,wall_perf_counter
warm,39,32.7406,25.5325,Solve_Succeeded,wall_perf_counter
warm,40,32.8559,25.5929,Solve_Succeeded,wall_perf_counter
warm,41,32.7495,25.4611,Solve_Succeeded,wall_perf_counter
warm,42,32.8062,25.5369,Solve_Succeeded,wall_perf_counter
warm,43,32.5998,25.3802,Solve_Succeeded,wall_perf_counter
warm,44,32.5768,25.2592,Solve_Succeeded,wall_perf_counter
warm,45,32.9438,25.6026,Solve_Succeeded,wall_perf_counter
warm,46,33.5977,26.3158,Solve_Succeeded,wall_perf_counter
warm,47,32.7927,25.5503,Solve_Succeeded,wall_perf_counter
warm,48,32.6030,25.3504,Solve_Succeeded,wall_perf_counter
warm,49,32.9937,25.7332,Solve_Succeeded,wall_perf_counter
warm,50,32.4898,25.1924,Solve_Succeeded,wall_perf_counter
warm,51,32.8415,25.4642,Solve_Succeeded,wall_perf_counter
warm,52,33.4076,25.7487,Solve_Succeeded,wall_perf_counter
warm,53,33.0899,25.5067,Solve_Succeeded,wall_perf_counter
warm,54,33.0875,25.6897,Solve_Succeeded,wall_perf_counter
warm,55,32.9329,25.5309,Solve_Succeeded,wall_perf_counter
warm,56,32.8504,25.5760,Solve_Succeeded,wall_perf_counter
warm,57,32.7598,25.3691,Solve_Succeeded,wall_perf_counter
warm,58,32.7979,25.3067,Solve_Succeeded,wall_perf_counter
warm,59,32.7770,25.4138,Solve_Succeeded,wall_perf_counter
warm,60,32.5301,25.2538,Solve_Succeeded,wall_perf_counter
warm,61,33.0356,25.6241,Solve_Succeeded,wall_perf_counter
warm,62,32.9149,25.5055,Solve_Succeeded,wall_perf_counter
warm,63,32.8357,25.3980,Solve_Succeeded,wall_perf_counter
warm,64,33.1464,25.6380,Solve_Succeeded,wall_perf_counter
warm,65,33.4116,26.0606,Solve_Succeeded,wall_perf_counter
warm,66,33.1427,25.5442,Solve_Succeeded,wall_perf_counter
warm,67,33.2255,25.5940,Solve_Succeeded,wall_perf_counter
warm,68,32.8178,25.3116,Solve_Succeeded,wall_perf_counter
warm,69,32.9871,25.4743,Solve_Succeeded,wall_perf_counter
warm,70,33.2440,25.6766,Solve_Succeeded,wall_perf_counter
warm,71,33.0665,25.4747,Solve_Succeeded,wall_perf_counter
warm,72,32.9151,25.3969,Solve_Succeeded,wall_perf_counter
warm,73,32.7845,25.4755,Solve_Succeeded,wall_perf_counter
warm,74,32.8563,25.6165,Solve_Succeeded,wall_perf_counter
warm,75,33.0623,25.6770,Solve_Succeeded,wall_perf_counter
warm,76,33.3217,25.8171,Solve_Succeeded,wall_perf_counter
warm,77,34.5211,26.9977,Solve_Succeeded,wall_perf_counter
warm,78,34.3156,26.1894,Solve_Succeeded,wall_perf_counter
warm,79,34.2590,26.3056,Solve_Succeeded,wall_perf_counter
warm,80,34.0048,26.1065,Solve_Succeeded,wall_perf_counter
warm,81,34.0352,26.1888,Solve_Succeeded,wall_perf_counter
warm,82,34.1989,26.3784,Solve_Succeeded,wall_perf_counter
warm,83,34.4517,26.6473,Solve_Succeeded,wall_perf_counter
warm,84,33.6496,26.0102,Solve_Succeeded,wall_perf_counter
warm,85,33.9454,26.4123,Solve_Succeeded,wall_perf_counter
warm,86,32.6122,25.3828,Solve_Succeeded,wall_perf_counter
warm,87,31.9533,24.7336,Solve_Succeeded,wall_perf_counter
warm,88,32.2381,24.9963,Solve_Succeeded,wall_perf_counter
warm,89,32.4152,25.1065,Solve_Succeeded,wall_perf_counter
warm,90,32.8304,25.3400,Solve_Succeeded,wall_perf_counter
warm,91,32.9268,25.5206,Solve_Succeeded,wall_perf_counter
warm,92,32.9767,25.5864,Solve_Succeeded,wall_perf_counter
warm,93,32.7133,25.3833,Solve_Succeeded,wall_perf_counter
warm,94,32.7691,25.3426,Solve_Succeeded,wall_perf_counter
warm,95,32.7611,25.4081,Solve_Succeeded,wall_perf_counter
warm,96,32.5661,25.2409,Solve_Succeeded,wall_perf_counter
warm,97,32.8314,25.4742,Solve_Succeeded,wall_perf_counter
warm,98,32.7542,25.5006,Solve_Succeeded,wall_perf_counter
warm,99,32.6648,25.4151,Solve_Succeeded,wall_perf_counter
warm,100,32.8234,25.6162,Solve_Succeeded,wall_perf_counter
warm,101,32.7776,25.4630,Solve_Succeeded,wall_perf_counter
warm,102,32.7071,25.4649,Solve_Succeeded,wall_perf_counter
warm,103,32.6215,25.4957,Solve_Succeeded,wall_perf_counter
warm,104,32.8100,25.7004,Solve_Succeeded,wall_perf_counter
warm,105,33.0875,26.0348,Solve_Succeeded,wall_perf_counter
warm,106,32.8015,25.7050,Solve_Succeeded,wall_perf_counter
warm,107,32.6418,25.4357,Solve_Succeeded,wall_perf_counter
warm,108,33.6998,26.4066,Solve_Succeeded,wall_perf_counter
warm,109,32.3475,25.2358,Solve_Succeeded,wall_perf_counter
warm,110,32.3699,25.1209,Solve_Succeeded,wall_perf_counter
warm,111,32.1900,24.9576,Solve_Succeeded,wall_perf_counter
warm,112,32.7146,25.2927,Solve_Succeeded,wall_perf_counter
warm,113,33.7428,26.4617,Solve_Succeeded,wall_perf_counter
warm,114,32.5730,25.4195,Solve_Succeeded,wall_perf_counter
warm,115,32.7227,25.4863,Solve_Succeeded,wall_perf_counter
warm,116,32.3530,25.1285,Solve_Succeeded,wall_perf_counter
warm,117,32.7030,25.2930,Solve_Succeeded,wall_perf_counter
warm,118,32.5339,25.1593,Solve_Succeeded,wall_perf_counter
warm,119,32.7032,25.2948,Solve_Succeeded,wall_perf_counter
warm,120,32.8315,25.4735,Solve_Succeeded,wall_perf_counter
warm,121,32.6897,25.2334,Solve_Succeeded,wall_perf_counter
warm,122,32.9027,25.4276,Solve_Succeeded,wall_perf_counter
warm,123,33.0701,25.6182,Solve_Succeeded,wall_perf_counter
warm,124,32.9365,25.5111,Solve_Succeeded,wall_perf_counter
warm,125,32.6410,25.2435,Solve_Succeeded,wall_perf_counter
warm,126,32.6015,25.2104,Solve_Succeeded,wall_perf_counter
warm,127,32.6593,25.4006,Solve_Succeeded,wall_perf_counter
warm,128,33.2522,25.5343,Solve_Succeeded,wall_perf_counter
warm,129,32.5939,25.5548,Solve_Succeeded,wall_perf_counter
warm,130,32.6880,25.5243,Solve_Succeeded,wall_perf_counter
warm,131,32.8676,25.6436,Solve_Succeeded,wall_perf_counter
warm,132,32.6978,25.4297,Solve_Succeeded,wall_perf_counter
warm,133,32.5718,25.4045,Solve_Succeeded,wall_perf_counter
warm,134,32.3532,25.3030,Solve_Succeeded,wall_perf_counter
warm,135,32.5014,25.2950,Solve_Succeeded,wall_perf_counter
warm,136,33.0125,25.7186,Solve_Succeeded,wall_perf_counter
warm,137,33.0367,25.8399,Solve_Succeeded,wall_perf_counter
warm,138,33.2216,25.9459,Solve_Succeeded,wall_perf_counter
warm,139,32.4825,25.2945,Solve_Succeeded,wall_perf_counter
warm,140,32.4717,25.2427,Solve_Succeeded,wall_perf_counter
warm,141,32.3363,25.1841,Solve_Succeeded,wall_perf_counter
warm,142,32.3854,25.2090,Solve_Succeeded,wall_perf_counter
warm,143,32.8222,25.4199,Solve_Succeeded,wall_perf_counter
warm,144,33.6872,25.8125,Solve_Succeeded,wall_perf_counter
warm,145,32.1351,24.7801,Solve_Succeeded,wall_perf_counter
warm,146,32.4424,25.2262,Solve_Succeeded,wall_perf_counter
warm,147,31.8817,24.6910,Solve_Succeeded,wall_perf_counter
warm,148,32.0425,24.8318,Solve_Succeeded,wall_perf_counter
warm,149,32.0673,24.9177,Solve_Succeeded,wall_perf_counter
