utc,elapsed_s,phase,cpu_percent,gpu_percent,memory_used_mb,load1,max_temp_c
2026-08-22T08:58:47.085198+00:00,0.504,idle_baseline,28.200,49.900,4637.098,3.294,57.000
2026-08-22T08:58:47.588684+00:00,1.007,idle_baseline,28.700,45.600,4638.668,3.294,57.031
2026-08-22T08:58:48.093351+00:00,1.512,idle_baseline,25.800,70.700,4641.617,3.294,56.906
2026-08-22T08:58:48.597363+00:00,2.016,idle_baseline,30.000,75.600,4644.191,3.294,56.843
2026-08-22T08:58:49.101202+00:00,2.520,idle_baseline,33.200,61.900,4645.879,3.294,57.093
2026-08-22T08:58:49.605201+00:00,3.024,idle_baseline,39.300,54.800,4645.441,3.294,56.937
2026-08-22T08:58:50.109677+00:00,3.528,idle_baseline,42.200,82.300,4645.059,3.294,56.875
2026-08-22T08:58:50.613720+00:00,4.032,idle_baseline,43.400,53.500,4649.258,3.351,56.937
2026-08-22T08:58:51.118229+00:00,4.537,idle_baseline,38.200,18.300,4651.145,3.351,57.031
2026-08-22T08:58:51.621133+00:00,5.040,steady,33.100,56.000,4657.469,3.351,56.812
2026-08-22T08:58:52.123904+00:00,5.543,steady,52.700,76.700,4715.652,3.351,56.875
2026-08-22T08:58:52.628094+00:00,6.047,steady,48.900,85.100,4720.363,3.351,56.906
2026-08-22T08:58:53.132043+00:00,6.551,steady,44.500,65.700,4722.914,3.351,56.968
2026-08-22T08:58:53.636277+00:00,7.055,steady,49.700,28.300,4740.945,3.351,57.156
2026-08-22T08:58:54.139477+00:00,7.558,steady,75.100,77.600,4815.984,3.351,57.250
2026-08-22T08:58:54.644527+00:00,8.063,steady,57.500,25.200,4825.250,3.351,57.218
2026-08-22T08:58:55.148313+00:00,8.567,steady,64.400,60.800,4853.398,3.351,57.281
2026-08-22T08:58:55.651690+00:00,9.070,steady,48.400,26.300,4865.512,3.322,57.125
2026-08-22T08:58:56.156331+00:00,9.575,steady,50.900,34.600,4872.855,3.322,57.281
2026-08-22T08:58:56.659416+00:00,10.078,steady,52.600,65.100,4872.590,3.322,57.218
2026-08-22T08:58:57.162222+00:00,10.581,steady,44.500,55.500,4869.844,3.322,57.156
2026-08-22T08:58:57.665449+00:00,11.084,steady,50.800,80.500,4872.535,3.322,57.156
2026-08-22T08:58:58.168962+00:00,11.588,steady,42.700,72.200,4874.426,3.322,57.250
2026-08-22T08:58:58.672824+00:00,12.091,steady,59.800,96.400,4884.113,3.322,57.312
2026-08-22T08:58:59.177008+00:00,12.596,steady,48.300,27.600,4899.289,3.322,57.312
2026-08-22T08:58:59.681006+00:00,13.100,steady,34.200,27.800,4899.535,3.322,57.000
2026-08-22T08:59:00.184860+00:00,13.604,steady,38.800,25.200,4902.043,3.322,57.062
2026-08-22T08:59:00.688197+00:00,14.107,steady,31.000,30.100,4900.629,3.216,57.093
2026-08-22T08:59:01.192108+00:00,14.611,steady,32.000,25.200,4904.414,3.216,57.218
2026-08-22T08:59:01.695620+00:00,15.114,steady,30.900,33.000,4906.176,3.216,57.062
2026-08-22T08:59:02.199157+00:00,15.618,steady,34.000,70.100,4903.688,3.216,57.093
2026-08-22T08:59:02.702330+00:00,16.121,steady,34.600,28.600,4906.035,3.216,57.187
2026-08-22T08:59:03.205880+00:00,16.625,steady,33.800,30.100,4902.082,3.216,57.000
2026-08-22T08:59:03.710145+00:00,17.129,steady,35.100,8.100,4902.500,3.216,57.093
2026-08-22T08:59:04.214511+00:00,17.633,steady,43.900,28.300,4894.070,3.216,57.218
2026-08-22T08:59:04.718064+00:00,18.137,steady,29.600,37.200,4895.363,3.216,57.062
2026-08-22T08:59:05.221360+00:00,18.640,steady,29.000,35.700,4896.516,3.216,57.000
2026-08-22T08:59:05.724899+00:00,19.144,steady,29.200,31.900,4900.074,3.199,57.187
2026-08-22T08:59:06.228914+00:00,19.648,steady,29.000,28.400,4908.980,3.199,57.062
2026-08-22T08:59:06.731687+00:00,20.150,steady,31.000,31.000,4916.828,3.199,56.937
2026-08-22T08:59:07.235147+00:00,20.654,stress,39.400,28.400,4840.203,3.199,57.000
2026-08-22T08:59:07.738522+00:00,21.157,stress,33.700,29.700,4892.188,3.199,57.156
2026-08-22T08:59:08.242532+00:00,21.661,stress,30.700,25.200,4894.391,3.199,56.937
2026-08-22T08:59:08.746031+00:00,22.165,stress,31.800,28.400,4893.730,3.199,57.125
2026-08-22T08:59:09.250028+00:00,22.669,stress,30.200,30.300,4894.715,3.199,57.125
2026-08-22T08:59:09.753619+00:00,23.172,stress,31.400,68.700,4896.559,3.199,56.906
2026-08-22T08:59:10.256948+00:00,23.676,stress,40.600,71.300,4892.766,3.199,57.000
2026-08-22T08:59:10.760775+00:00,24.179,stress,43.500,42.300,4893.457,3.183,57.281
2026-08-22T08:59:11.264476+00:00,24.683,stress,36.500,38.600,4896.508,3.183,56.968
2026-08-22T08:59:11.767947+00:00,25.187,stress,41.500,53.500,4894.398,3.183,57.000
2026-08-22T08:59:12.270985+00:00,25.690,stress,40.800,53.300,4894.238,3.183,57.281
2026-08-22T08:59:12.774362+00:00,26.193,stress,34.100,1.900,4895.516,3.183,57.218
2026-08-22T08:59:13.278326+00:00,26.697,stress,32.500,39.400,4898.289,3.183,57.000
2026-08-22T08:59:13.782466+00:00,27.201,stress,42.400,72.200,4900.844,3.183,57.062
2026-08-22T08:59:14.285799+00:00,27.704,stress,64.800,73.800,4894.719,3.183,57.187
2026-08-22T08:59:14.788944+00:00,28.208,stress,30.300,64.300,4894.293,3.183,57.062
2026-08-22T08:59:15.293161+00:00,28.712,stress,31.400,28.400,4895.551,3.183,57.000
2026-08-22T08:59:15.797806+00:00,29.216,stress,36.400,80.500,4901.562,3.008,57.187
2026-08-22T08:59:16.301404+00:00,29.720,stress,46.200,22.600,4910.477,3.008,57.375
2026-08-22T08:59:16.804929+00:00,30.224,stress,47.200,29.100,4918.617,3.008,57.062
