mode,iter,wall_ms,ipopt_ms,solver_status,timing_source
cold,0,80.1599,73.0438,Solve_Succeeded,wall_perf_counter
cold,1,86.9483,79.4922,Solve_Succeeded,wall_perf_counter
cold,2,84.0872,77.1260,Solve_Succeeded,wall_perf_counter
cold,3,75.1138,68.1235,Solve_Succeeded,wall_perf_counter
cold,4,83.6712,76.6039,Solve_Succeeded,wall_perf_counter
cold,5,80.0400,73.1225,Solve_Succeeded,wall_perf_counter
cold,6,83.9278,76.7869,Solve_Succeeded,wall_perf_counter
cold,7,80.0192,72.8998,Solve_Succeeded,wall_perf_counter
cold,8,138.8520,131.8723,Solve_Succeeded,wall_perf_counter
cold,9,118.2866,111.1028,Solve_Succeeded,wall_perf_counter
cold,10,125.6608,118.6297,Solve_Succeeded,wall_perf_counter
cold,11,99.1310,92.2119,Solve_Succeeded,wall_perf_counter
cold,12,75.3081,68.3331,Solve_Succeeded,wall_perf_counter
cold,13,83.1468,75.7965,Solve_Succeeded,wall_perf_counter
cold,14,74.3532,67.3529,Solve_Succeeded,wall_perf_counter
cold,15,107.6318,100.4940,Solve_Succeeded,wall_perf_counter
cold,16,71.2286,64.0081,Solve_Succeeded,wall_perf_counter
cold,17,114.0492,106.8950,Solve_Succeeded,wall_perf_counter
cold,18,66.7449,59.6789,Solve_Succeeded,wall_perf_counter
cold,19,70.1938,63.2179,Solve_Succeeded,wall_perf_counter
cold,20,90.7657,83.7023,Solve_Succeeded,wall_perf_counter
cold,21,83.8452,76.5501,Solve_Succeeded,wall_perf_counter
cold,22,76.7720,69.5288,Solve_Succeeded,wall_perf_counter
cold,23,81.6127,74.6689,Solve_Succeeded,wall_perf_counter
cold,24,97.3180,90.1580,Solve_Succeeded,wall_perf_counter
cold,25,82.5693,75.6701,Solve_Succeeded,wall_perf_counter
cold,26,77.5909,70.2040,Solve_Succeeded,wall_perf_counter
cold,27,80.5775,72.7253,Solve_Succeeded,wall_perf_counter
cold,28,68.3386,60.7915,Solve_Succeeded,wall_perf_counter
cold,29,92.4941,85.3757,Solve_Succeeded,wall_perf_counter
cold,30,142.1439,134.9934,Solve_Succeeded,wall_perf_counter
cold,31,109.1763,102.0765,Solve_Succeeded,wall_perf_counter
cold,32,96.3186,88.7569,Solve_Succeeded,wall_perf_counter
cold,33,91.2181,84.0858,Solve_Succeeded,wall_perf_counter
cold,34,76.0044,68.8009,Solve_Succeeded,wall_perf_counter
cold,35,58.9689,51.6873,Solve_Succeeded,wall_perf_counter
cold,36,93.3525,85.7623,Solve_Succeeded,wall_perf_counter
cold,37,87.9959,80.9231,Solve_Succeeded,wall_perf_counter
cold,38,89.0587,81.7945,Solve_Succeeded,wall_perf_counter
cold,39,90.7838,83.1913,Solve_Succeeded,wall_perf_counter
cold,40,57.6935,50.0938,Solve_Succeeded,wall_perf_counter
cold,41,52.4656,45.2540,Solve_Succeeded,wall_perf_counter
cold,42,51.7920,44.6648,Solve_Succeeded,wall_perf_counter
cold,43,47.4808,39.9133,Solve_Succeeded,wall_perf_counter
cold,44,47.2079,39.8304,Solve_Succeeded,wall_perf_counter
cold,45,47.2627,40.2173,Solve_Succeeded,wall_perf_counter
cold,46,47.2331,40.2152,Solve_Succeeded,wall_perf_counter
cold,47,47.9486,40.6103,Solve_Succeeded,wall_perf_counter
cold,48,46.5990,39.4823,Solve_Succeeded,wall_perf_counter
cold,49,46.8887,39.7983,Solve_Succeeded,wall_perf_counter
