file,group,sample_rate_hz,sample_count,duration_s,rms_demeaned_vector_nt,rms_detrended_vector_nt,axis_rms_detrended_nt,lockin_45_vector_nt,lockin_50_vector_nt,lockin_50_to_45_ratio,spectral_peak_hz,spectral_peak_asd_nt_sqrt_hz,high_band_median_asd_nt_sqrt_hz,high_band_rms_vector_nt,max_abs_axis_corr,lag1_corr_median
1780675809_291477.npz,default_background,2000,7839,3.9195,244.87428027803384,244.87423518865302,"[147.4910732746114, 123.02825311998636, 151.90070209770437]",4.910128825530199,305.91575372706484,62.302999492896575,50.0,254.72076361262774,0.13070941128793534,99.6864851363309,0.9996265160728169,0.9493352964632344
1780676130_241387.npz,default_background,2000,18369,9.1845,92.36285515820988,80.23357353402722,"[20.459669372182542, 37.64400866735339, 67.83625035829553]",0.25801448181941494,32.6518784414052,126.55056495727376,50.0,27.83813224674373,0.1360553771888614,11.087131158553548,0.8436750655131235,0.9805615685380316
1780676240_920385.npz,context_record,2000,2574,1.287,13224.934697931565,5741.866136694292,"[2687.846595074604, 4639.057742515018, 2055.1522266425823]",60.70288946331746,60.16093031332096,0.991071938176452,1.5540015540015542,3158.137650731012,0.1851926155014429,12.152752450360278,0.9157807239380709,0.9999823948834156
1780676251_810422.npz,context_record,2000,16029,8.0145,37864.50851047412,37498.580970910974,"[21963.522756577542, 11237.790190643856, 28239.322133938273]",49.69632150459887,47.345064248390536,0.9526874990940577,1.0,28585.638805000297,0.4097679041171801,13.839971207904771,0.7040696221008601,0.9999968043766273
1780678630_021069.npz,known_45hz_excited,2000,10179,5.0895,3967.5847137555984,3967.5732807575355,"[214.75839686831063, 1651.6123837939144, 3601.068327990216]",5609.947551154662,42.880533755798375,0.007643660366659317,45.0,4581.451235439525,0.13623458115914347,30.08653850568601,0.9999819675388132,0.9900185334443233
1780679609_173887.npz,known_45hz_excited,2000,16263,8.1315,3786.365742653805,3786.360845418393,"[326.01572862757934, 1363.6960194794772, 3517.1828731046594]",5352.440922664202,21.82698981606827,0.004077950626908328,45.0,4372.026803109018,0.14408353284253314,47.78538974594027,0.9999697448625321,0.9900142768211583
1780680447_127210.npz,known_45hz_excited,2000,9594,4.797,3108.2432334979394,3108.225548628267,"[453.78926162891236, 892.2939056279101, 2942.6098880339314]",4395.8326923557925,36.830876136260024,0.00837858915793308,45.0,3587.824904159443,0.14316301145463778,39.648290949024464,0.9999491768817824,0.9900199651974577
1780680607_729347.npz,known_45hz_excited,2000,7137,3.5685,6334.520648861261,6334.500791880675,"[477.1506664672092, 2204.9697767518505, 5919.149922703233]",8958.493574087108,46.97186027674041,0.0052432766612244795,45.0,7312.495893136288,0.13273342691197362,78.13955963422286,0.9999934728695833,0.9900214245318364
1783232460_122175.npz,context_record,2000,45747,22.8735,29292.163213622116,28024.15388428116,"[15260.568995199887, 11654.580352327577, 20411.73661606858]",5.137048786612018,15.556400571769435,3.0282758093152506,1.0,20575.46954124801,0.3635369383233677,20.861722766295372,0.7839586063992197,0.999997175400574
1783233073_919102.npz,context_record,2000,146835,73.4175,45342.56975170119,44327.2100248956,"[22569.433281366968, 27102.276393779146, 26851.23543199328]",4.600536972879538,3.5679258692423605,0.7755455265929855,1.0,22768.601174992076,1.7308565778158145,30.955963269778056,0.06734077939280673,0.9999964880271898
1783233716_205466.npz,context_record,2000,105417,52.7085,45661.718804407654,44526.43695222768,"[23855.255864143426, 26551.42750813069, 26618.641073455245]",8.397359845505928,8.627082095696483,1.0273564851830779,1.0,20041.291978750873,21.9595456828437,408.2156810777026,0.21671180692769942,0.999964299623472
1783233880_649612.npz,context_record,2000,58851,29.4255,34427.614156989184,32960.35325288633,"[19467.459319542293, 25381.783883663695, 7947.827444025836]",71.55786646675239,49.92739661542317,0.6977205872763229,1.0,15670.158795860867,45.75691258246945,848.0375042886923,0.19362528392941333,0.9999165734735187
1783233969_231145.npz,context_record,2000,48087,24.0435,45374.91746129636,39014.50488018914,"[19353.920618565986, 20234.15808993241, 27168.661986343224]",4.248254099850261,9.40516585832138,2.2138896679115514,1.0,16675.800949745542,0.566813966063926,21.365307132655822,0.10805740941265418,0.9999988694528136
1783233998_081508.npz,context_record,2000,70668,35.334,45601.04678779948,44781.74182413447,"[23236.095918746403, 26109.2688573719, 27996.327026803374]",8.419965029277805,6.782128811005046,0.8054818265185553,1.0,20657.972270856037,0.5385038483613548,25.829029067171753,0.09209491169859846,0.9999983061477438
1783234131_428572.npz,context_record,2000,68796,34.398,48194.1577896188,46332.159948025015,"[23907.38712076489, 23510.848136050132, 31974.144342434658]",9.65436579015427,10.521934864497663,1.089862875842985,1.0,28134.035456118432,0.7820665566113729,35.57335407132288,0.1745854117264199,0.9999962396272192
1783235089_214317.npz,known_45hz_excited,2000,147537,73.7685,6381.443349152054,6246.273128296312,"[3590.23728437938, 3657.5031111658914, 3570.5455083139045]",1497.6655933207073,4.060208909880938,0.0027110250298789445,45.0,1925.9173286240123,0.1500171411815977,19.542723526995314,0.8487712106151938,0.999066419105727
1783235358_205719.npz,biot_savart_joint,2000,106821,53.4105,13919.362484150672,13267.253415610263,"[7187.154750299921, 5293.0577547100065, 9815.720014067625]",1670.8763877056372,8.570792352223512,0.005129519104637351,45.0,2234.8054198686655,0.15276715482147896,23.04345969522426,0.9216439238383786,0.9997772717769778
